"global_category","overview_category","map_category","column_name","long_name","Definition","group_indicator","Source","multiple_version"
"Adaptation","Transformative Adaptation","Transformative Adaptation","ad_sys_scope","Expanding geographic area and people impacted","Is the expansion over a larger geographic area or an increase in number of people impacted? ",,"CAIT","TRUE"
"Adaptation","Transformative Adaptation","Transformative Adaptation","ad_sys_incre","Expanding beyond incremental adaptation","Does the expansion activity go beyond incremental adaptation to address changes in the overall system? ",,"CAIT","TRUE"
"Adaptation","Transformative Adaptation","Transformative Adaptation","ad_inno","Innovation","Does the NDC include adaptation priorities with innovation?",,"CAIT","TRUE"
"Adaptation","Transformative Adaptation","Transformative Adaptation","ad_loc","Shift in location","Does the NDC include adaptation priorities that include a shift in location for the adaptation action being implemented?",,"CAIT","TRUE"
"Sectoral Information","Adaptation Commitments",,"ad_sec_action","Action and priority","Adaptation action/priority",,"WB","TRUE"
"Sectoral Information","Adaptation Commitments",,"ad_sec_tar","Targets","Measurable targets or indicators","ad_sec_action","WB","TRUE"
"Sectoral Information","Adaptation Commitments",,"ad_sec_time","Time frame","Time frame","ad_sec_action","WB","TRUE"
"Sectoral Information","Adaptation Commitments",,"ad_sec_conc","Conditional costs","Conditional Costs","ad_sec_action","WB","TRUE"
"Sectoral Information","Adaptation Commitments",,"ad_sec_unconc","Unconditional costs","Unconditional Costs","ad_sec_action","WB","TRUE"
"Sectoral Information","Adaptation Commitments",,"GCA_Sector","Adapt Now sector","GCA_Sector","ad_sec_action","WB","TRUE"
"Sectoral Information","Adaptation Commitments",,"GCA_subsector","Adapt Now subsector","GCA_subsector","ad_sec_action","WB","TRUE"
"Sectoral Information","Adaptation Commitments",,"GCA_Sector_2","Adapt Now sector (2)","GCA_Sector_2","ad_sec_action","WB","TRUE"
"Sectoral Information","Adaptation Commitments",,"GCA_Subsector_2","Adapt Now subsector (2)","GCA_Subsector_2","ad_sec_action","WB","TRUE"
"Sectoral Information","Adaptation Commitments",,"GCA_Sector_3","Adapt Now sector (3)","GCA_Sector_3","ad_sec_action","WB","TRUE"
"Sectoral Information","Adaptation Commitments",,"GCA_Subsector_3","Adapt Now subsector (3)","GCA_Subsector_3","ad_sec_action","WB","TRUE"
